name,file,category,description,icon
agent-optimizer,agent-optimizer.md,meta,Agent Quality Assurance & Optimizer — Sentinel,
art-director,art-director.md,meta,Art Director — Visual identity; prompt aesthetics; output formatting,
concierge,concierge.md,meta,Concierge — Triage; clarification; routage intelligent vers l''agent adapté,
creative-toolsmith,creative-toolsmith.md,meta,Creative Toolsmith — Tool design; framework extension; automation patterns,
memory-keeper,memory-keeper.md,meta,Memory Keeper & Knowledge Quality — Mnemo,
project-navigator,project-navigator.md,meta,Project Knowledge Curator & Navigator — Atlas,
backup-dr-specialist,backup-dr-specialist.md,infra-ops,Backup & Disaster Recovery Specialist — Phoenix,
k8s-navigator,k8s-navigator.md,infra-ops,Kubernetes & GitOps Navigator — Helm,
monitoring-specialist,monitoring-specialist.md,infra-ops,Monitoring & Observability Specialist — Hawk,
ops-engineer,ops-engineer.md,infra-ops,Infrastructure & DevOps Engineer — Forge,
pipeline-architect,pipeline-architect.md,infra-ops,CI/CD & Automation Specialist — Flow,
security-hardener,security-hardener.md,infra-ops,Security & Compliance Specialist — Vault,
systems-debugger,systems-debugger.md,infra-ops,Systems Debugger & Linux Internals — Probe,
backend-engineer,backend-engineer.md,platform-engineering,Backend Engineer — Stack,
deploy-orchestrator,deploy-orchestrator.md,platform-engineering,Deploy Orchestrator — Convoy,
platform-architect,platform-architect.md,platform-engineering,Platform Architect — Archie,
reliability-engineer,reliability-engineer.md,platform-engineering,Reliability Engineer (SRE) — Guardian,
fix-loop-orchestrator,fix-loop-orchestrator.md,fix-loop,Closed-Loop Fix Orchestrator — zéro ''done'' sans preuve d''exécution réelle,
